City,State,StateCode,City_State,Latitude,Longitude,car_percent,medianRent,white_percent,nonwhite_percent,foreign_born_percent,NR_percent,construction_percent,manufacturing_percent,sales_percent,transpo_percent,info_percent,finance_percent,sci_percent,edu_percent,arts_percent,other_percent,PA_percent,republican,democrat,bars_pp,restaurants,parks_pp,activities_pp,nightlife_pp,nightlife,activities,museums_pp,max_avg_high,max_avg_low,mean_diff,international_airport,transit,amtrak,crime_rate,pop_density
Rochester,Minnesota,MN,"Rochester, Minnesota",44.0234387,-92.4630182,0.616973,1446,0.716,0.284,0.134,0.002,0.041,0.072,0.105,0.013,0.008,0.037,0.061,0.524,0.069,0.039,0.031,1,7,0.0005,0.0024,0.0002,0.0018,0.0005,0.0010,0.0019,0.0001,93,-19.6,112.6,1,2,1,20.91,2184.07
Jackson,Mississippi,MS,"Jackson, Mississippi",32.2998686,-90.1830408,0.761901,1110,0.402,0.598,0.025,0.007,0.047,0.071,0.14,0.062,0.02,0.062,0.103,0.27,0.102,0.059,0.057,7,0,0.0003,0.0017,0.0001,0.0009,0.0004,0.0006,0.0010,0.0001,99.7,17.6,82.1,1,2,1,44.28,1375.82
Kansas City,Missouri,MO,"Kansas City, Missouri",39.100105,-94.5781416,0.736459,1254,0.668,0.332,0.088,0.005,0.063,0.092,0.131,0.065,0.022,0.094,0.146,0.22,0.078,0.042,0.042,7,0,0.0002,0.0007,0.0001,0.0005,0.0002,0.0005,0.0006,0.0001,101.7,-0.7,102.4,1,2,1,63.18,1614.38
St. Louis,Missouri,MO,"St. Louis, Missouri",38.6280278,-90.1910154,0.73989,1146,0.66,0.34,0.07,0.006,0.051,0.101,0.126,0.053,0.02,0.084,0.133,0.258,0.086,0.05,0.033,7,0,0.0002,0.0006,0.0001,0.0004,0.0002,0.0004,0.0005,0.0000,100.7,1.2,99.5,1,2,1,87.1,4886.23
Bozeman,Montana,MT,"Bozeman, Montana",45.6794293,-111.044047,0.676494,1852,0.865,0.135,0.048,0.022,0.091,0.029,0.154,0.04,0.021,0.076,0.132,0.23,0.121,0.052,0.031,6,1,0.0012,0.0029,0.0003,0.0044,0.0013,0.0025,0.0046,0.0002,94.8,-18.7,113.5,0,0,0,22.66,2554.43
Lincoln,Nebraska,NE,"Lincoln, Nebraska",40.8088861,-96.7077751,0.754105,1024,0.788,0.212,0.082,0.011,0.052,0.101,0.114,0.045,0.016,0.077,0.11,0.275,0.095,0.048,0.056,7,1,0.0005,0.0023,0.0001,0.0017,0.0006,0.0011,0.0018,0.0001,101.7,-2.5,104.2,0,1,1,33.02,2937.67
Omaha,Nebraska,NE,"Omaha, Nebraska",41.2587459,-95.9383758,0.741141,1188,0.714,0.286,0.093,0.009,0.065,0.086,0.131,0.059,0.018,0.105,0.126,0.242,0.083,0.041,0.035,7,1,0.0004,0.0011,0.0001,0.0007,0.0004,0.0008,0.0007,0.0000,99.8,-10.6,110.4,1,2,1,40.38,3658.41
Las Vegas,Nevada,NV,"Las Vegas, Nevada",36.1672559,-115.148516,0.699889,1662,0.422,0.578,0.224,0.004,0.076,0.038,0.126,0.087,0.017,0.061,0.131,0.16,0.222,0.041,0.035,1,6,0.0005,0.0019,0.0000,0.0015,0.0006,0.0012,0.0015,0.0001,113.6,8,105.6,1,2,1,35.41,4525.16
Reno,Nevada,NV,"Reno, Nevada",39.5261206,-119.8126581,0.687926,1618,0.615,0.385,0.15,0.008,0.079,0.103,0.134,0.069,0.012,0.051,0.132,0.194,0.136,0.042,0.039,1,6,0.0008,0.0024,0.0003,0.0024,0.0008,0.0016,0.0025,0.0001,102.6,5.6,97,1,2,1,32.36,2426.54
Manchester,New Hampshire,NH,"Manchester, New Hampshire",42.9956397,-71.4547891,0.709777,1647,0.785,0.215,0.124,0.001,0.066,0.126,0.152,0.052,0.018,0.083,0.109,0.261,0.074,0.037,0.021,3,4,0.0007,0.0028,0.0001,0.0026,0.0007,0.0013,0.0027,0.0001,97,-4.6,101.6,0,1,1,28.9,3497.05
Atlantic City,New Jersey,NJ,"Atlantic City, New Jersey",39.3642852,-74.4229351,0.693978,1323,0.595,0.405,0.158,0.005,0.056,0.042,0.093,0.043,0.011,0.063,0.093,0.262,0.23,0.044,0.056,0,7,0.0006,0.0020,0.0000,0.0012,0.0007,0.0013,0.0012,0.0001,98.1,4.4,93.7,1,2,1,97.09,3577.8
Albuquerque,New Mexico,NM,"Albuquerque, New Mexico",35.0841034,-106.650985,0.725524,1232,0.496,0.504,0.099,0.01,0.065,0.056,0.117,0.043,0.018,0.057,0.166,0.264,0.097,0.051,0.055,0,7,0.0003,0.0020,0.0002,0.0014,0.0003,0.0006,0.0015,0.0001,100.8,10.9,89.9,1,2,1,62.76,3014.68
Buffalo,New York,NY,"Buffalo, New York",42.8867166,-78.8783922,0.725026,1066,0.716,0.284,0.078,0.003,0.048,0.106,0.123,0.056,0.013,0.082,0.107,0.284,0.082,0.047,0.048,0,7,0.0003,0.0012,0.0001,0.0010,0.0003,0.0007,0.0011,0.0001,91.5,-20,111.5,1,2,1,40.88,6893.41
New York City,New York,NY,"New York City, New York",40.7127281,-74.0060152,0.442813,1763,0.444,0.556,0.31,0.002,0.057,0.052,0.109,0.065,0.031,0.091,0.152,0.272,0.082,0.048,0.04,0,7,0.0003,0.0008,0.0001,0.0008,0.0003,0.0005,0.0009,0.0000,97,7.7,89.3,1,2,1,38.22,29302.7
Charlotte,North Carolina,NC,"Charlotte, North Carolina",35.2272086,-80.8430827,0.605555,1656,0.492,0.508,0.16,0.003,0.07,0.086,0.123,0.066,0.023,0.131,0.164,0.181,0.083,0.048,0.023,6,2,0.0004,0.0013,0.0001,0.0010,0.0004,0.0008,0.0010,0.0000,98,12.6,85.4,1,2,1,41.95,2821.06
Durham,North Carolina,NC,"Durham, North Carolina",35.996653,-78.9018053,0.628578,1562,0.475,0.525,0.154,0.002,0.052,0.08,0.098,0.029,0.017,0.049,0.184,0.336,0.074,0.041,0.039,6,2,0.0004,0.0017,0.0001,0.0015,0.0004,0.0008,0.0015,0.0001,99.6,12.1,87.5,1,2,1,40.78,2457.51
Fayetteville,North Carolina,NC,"Fayetteville, North Carolina",35.0525759,-78.878292,0.739454,1232,0.395,0.605,0.074,0.003,0.058,0.091,0.135,0.075,0.013,0.038,0.111,0.255,0.094,0.049,0.077,6,2,0.0003,0.0018,0.0000,0.0010,0.0003,0.0006,0.0010,0.0000,100.5,15.3,85.2,0,1,1,44.64,1406.34
Greensboro,North Carolina,NC,"Greensboro, North Carolina",36.0726355,-79.7919754,0.728399,1202,0.429,0.571,0.12,0.002,0.045,0.125,0.151,0.071,0.01,0.073,0.103,0.253,0.105,0.04,0.021,6,2,0.0005,0.0024,0.0001,0.0018,0.0006,0.0011,0.0018,0.0001,97.4,11.8,85.6,1,2,1,46.35,2275.59
Raleigh,North Carolina,NC,"Raleigh, North Carolina",35.7803977,-78.6390989,0.630924,1653,0.576,0.424,0.157,0.007,0.055,0.094,0.11,0.038,0.021,0.087,0.234,0.196,0.072,0.042,0.045,6,2,0.0003,0.0010,0.0001,0.0009,0.0003,0.0006,0.0009,0.0000,99.6,12.1,87.5,1,2,1,28.68,3148.33
Fargo,North Dakota,ND,"Fargo, North Dakota",46.877229,-96.789821,0.784346,992,0.808,0.192,0.066,0.016,0.067,0.088,0.15,0.039,0.021,0.091,0.098,0.28,0.072,0.045,0.034,7,0,0.0005,0.0021,0.0001,0.0013,0.0006,0.0011,0.0014,0.0000,95.8,-25,120.8,0,1,1,46.99,2620
Cincinnati,Ohio,OH,"Cincinnati, Ohio",39.1014537,-84.5124602,0.732876,1122,0.721,0.279,0.068,0.004,0.051,0.13,0.136,0.057,0.014,0.077,0.136,0.233,0.082,0.046,0.033,6,1,0.0003,0.0008,0.0001,0.0008,0.0004,0.0007,0.0009,0.0001,95.3,-2.7,98,1,2,1,46.34,3969.98
Columbus,Ohio,OH,"Columbus, Ohio",39.9622601,-83.0007065,0.690003,1305,0.606,0.394,0.13,0.003,0.047,0.076,0.13,0.075,0.019,0.102,0.132,0.252,0.082,0.04,0.041,6,1,0.0003,0.0010,0.0001,0.0008,0.0003,0.0006,0.0008,0.0000,95,-0.9,95.9,1,2,1,40.13,4109.64
Oklahoma City,Oklahoma,OK,"Oklahoma City, Oklahoma",35.4729886,-97.5170536,0.767096,1177,0.572,0.428,0.099,0.023,0.065,0.067,0.146,0.056,0.014,0.07,0.121,0.231,0.085,0.057,0.065,7,0,0.0003,0.0014,0.0001,0.0007,0.0004,0.0007,0.0008,0.0001,103.8,7.5,96.3,1,2,1,37.18,1122.96
Tusla,Oklahoma,OK,"Tusla, Oklahoma",36.391142,-95.044788,0.756228,1107,0.601,0.399,0.098,0.012,0.07,0.107,0.14,0.066,0.018,0.062,0.114,0.228,0.089,0.056,0.037,7,0,0.0010,0.0000,0.0003,0.0000,0.0009,0.0019,0.0002,0.0002,103.9,4.6,99.3,1,1,0,51.88,2088.67
Eugene,Oregon,OR,"Eugene, Oregon",44.0505054,-123.0950506,0.652326,1406,0.77,0.23,0.049,0.019,0.054,0.091,0.133,0.03,0.013,0.045,0.121,0.3,0.093,0.053,0.046,0,7,0.0006,0.0030,0.0003,0.0021,0.0006,0.0013,0.0021,0.0001,100.6,17.1,83.5,0,1,1,37.63,3995.07
Portland,Oregon,OR,"Portland, Oregon",45.5202471,-122.674194,0.607053,1691,0.679,0.321,0.135,0.01,0.061,0.122,0.14,0.054,0.019,0.057,0.148,0.226,0.083,0.045,0.035,0,7,0.0005,0.0015,0.0001,0.0012,0.0005,0.0010,0.0013,0.0001,99.9,20.8,79.1,1,2,1,72.04,4888.1
Philadelphia,Pennsylvania,PA,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,0.626996,1457,0.578,0.422,0.126,0.004,0.053,0.087,0.122,0.058,0.018,0.08,0.139,0.275,0.077,0.043,0.043,1,6,0.0002,0.0009,0.0000,0.0005,0.0002,0.0004,0.0005,0.0000,98.1,8.6,89.5,1,2,1,53.67,11936.92
Pittsburgh,Pennsylvania,PA,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861,0.664782,1101,0.799,0.201,0.055,0.005,0.059,0.094,0.126,0.058,0.018,0.079,0.133,0.274,0.085,0.042,0.027,1,6,0.0003,0.0012,0.0001,0.0008,0.0004,0.0007,0.0009,0.0001,92.6,-1.5,94.1,1,2,1,36.03,5471.26
Providence,Rhode Island,RI,"Providence, Rhode Island",41.8239891,-71.4128343,0.728407,1348,0.7,0.3,0.156,0.005,0.066,0.108,0.137,0.045,0.011,0.065,0.125,0.262,0.083,0.049,0.043,0,7,0.0003,0.0013,0.0001,0.0009,0.0003,0.0007,0.0010,0.0000,96.6,2,94.6,1,2,1,28.64,10373.47
Charleston,South Carolina,SC,"Charleston, South Carolina",32.7884363,-79.9399309,0.706029,1667,0.657,0.343,0.077,0.003,0.071,0.1,0.114,0.062,0.013,0.075,0.164,0.205,0.098,0.045,0.05,7,0,0.0005,0.0015,0.0002,0.0021,0.0005,0.0010,0.0022,0.0001,98.9,20.3,78.6,1,2,1,23.07,1305.97
Columbia,South Carolina,SC,"Columbia, South Carolina",34.0003117,-81.0331309,0.745847,1211,0.505,0.495,0.064,0.006,0.052,0.081,0.126,0.063,0.015,0.078,0.112,0.259,0.074,0.059,0.075,7,0,0.0003,0.0016,0.0001,0.0009,0.0003,0.0006,0.0010,0.0000,101.5,16.7,84.8,1,2,1,35.32,991.45
Sioux Falls,South Dakota,SD,"Sioux Falls, South Dakota",43.5476008,-96.7293629,0.783065,986,0.786,0.214,0.102,0.016,0.057,0.115,0.131,0.037,0.019,0.107,0.091,0.279,0.07,0.041,0.036,7,0,0.0006,0.0023,0.0001,0.0018,0.0006,0.0013,0.0019,0.0001,96.8,-19.2,116,0,0,0,35.99,2387.25
Chattanooga,Tennessee,TN,"Chattanooga, Tennessee",35.0457219,-85.3094883,0.74493,1265,0.713,0.287,0.051,0.004,0.075,0.125,0.151,0.078,0.013,0.063,0.106,0.224,0.089,0.049,0.021,7,0,0.0004,0.0014,0.0001,0.0013,0.0004,0.0008,0.0013,0.0001,98.3,12.9,85.4,0,0,0,63.71,1272.19
Knoxville,Tennessee,TN,"Knoxville, Tennessee",35.9603948,-83.9210261,0.754429,1264,0.803,0.197,0.064,0.003,0.066,0.083,0.14,0.059,0.017,0.068,0.139,0.228,0.113,0.05,0.033,7,0,0.0003,0.0011,0.0001,0.0008,0.0003,0.0005,0.0008,0.0000,96,9,87,1,1,0,48.04,1931.9
Memphis,Tennessee,TN,"Memphis, Tennessee",35.1460249,-90.0517638,0.777831,1223,0.343,0.657,0.075,0.004,0.05,0.092,0.125,0.142,0.011,0.053,0.107,0.225,0.088,0.045,0.058,7,0,0.0002,0.0007,0.0001,0.0005,0.0002,0.0004,0.0005,0.0001,99.9,13.6,86.3,1,2,1,97.64,2146.71
Nashville,Tennessee,TN,"Nashville, Tennessee",36.1622767,-86.7742984,0.694509,1649,0.62,0.38,0.137,0.003,0.066,0.08,0.116,0.057,0.032,0.068,0.151,0.238,0.104,0.051,0.033,7,0,0.0006,0.0017,0.0001,0.0013,0.0006,0.0011,0.0013,0.0001,98.5,9,89.5,1,2,1,49.6,1420.32
Austin,Texas,TX,"Austin, Texas",30.2711286,-97.7436995,0.617842,1784,0.549,0.451,0.168,0.004,0.059,0.09,0.114,0.046,0.037,0.08,0.21,0.188,0.08,0.042,0.052,7,0,0.0004,0.0015,0.0001,0.0015,0.0005,0.0009,0.0015,0.0001,105.3,24.2,81.1,1,2,1,41.62,3006.36
Dallas,Texas,TX,"Dallas, Texas",32.7762719,-96.7968559,0.699281,1625,0.424,0.576,0.219,0.006,0.084,0.09,0.133,0.078,0.021,0.093,0.147,0.192,0.083,0.046,0.026,7,0,0.0001,0.0005,0.0000,0.0004,0.0001,0.0003,0.0004,0.0000,105.5,19.1,86.4,1,2,1,46.06,3840.88
Houston,Texas,TX,"Houston, Texas",29.7589382,-95.3676974,0.711382,1435,0.345,0.655,0.273,0.019,0.091,0.089,0.13,0.075,0.011,0.061,0.145,0.218,0.084,0.051,0.027,7,0,0.0002,0.0006,0.0000,0.0005,0.0002,0.0004,0.0005,0.0000,102.1,26,76.1,1,2,1,57.34,3598.43
San Antonio,Texas,TX,"San Antonio, Texas",29.4246002,-98.4951405,0.689071,1334,0.418,0.582,0.141,0.006,0.08,0.063,0.139,0.053,0.016,0.08,0.126,0.243,0.102,0.046,0.045,7,0,0.0003,0.0013,0.0001,0.0007,0.0003,0.0006,0.0008,0.0000,103.8,23.5,80.3,1,2,1,59.58,2875.86
Provo,Utah,UT,"Provo, Utah",40.2337289,-111.6587085,0.64273,1557,0.808,0.192,0.086,0.005,0.077,0.079,0.134,0.025,0.022,0.065,0.165,0.277,0.074,0.05,0.026,7,0,0.0000,0.0009,0.0001,0.0008,0.0000,0.0001,0.0008,0.0000,103.2,5.4,97.8,0,1,1,15.55,2762.34
Salt Lake City,Utah,UT,"Salt Lake City, Utah",40.7596198,-111.886797,0.652425,1649,0.698,0.302,0.136,0.006,0.073,0.101,0.137,0.058,0.017,0.081,0.14,0.225,0.085,0.044,0.033,7,0,0.0002,0.0012,0.0001,0.0009,0.0002,0.0004,0.0010,0.0000,102.3,0.9,101.4,1,2,1,76.11,1797.52
Burlington,Vermont,VT,"Burlington, Vermont",44.4761601,-73.212906,0.584907,1655,0.839,0.161,0.096,0.017,0.044,0.118,0.126,0.025,0.016,0.053,0.131,0.299,0.1,0.025,0.045,1,6,0.0009,0.0030,0.0002,0.0032,0.0009,0.0018,0.0033,0.0001,94.4,-15.3,109.7,0,1,1,59.83,4339.3
Richmond,Virginia,VA,"Richmond, Virginia",37.5385087,-77.43428,0.711889,1507,0.51,0.49,0.113,0.002,0.047,0.066,0.131,0.063,0.013,0.099,0.141,0.235,0.074,0.053,0.075,1,6,0.0003,0.0012,0.0001,0.0008,0.0003,0.0005,0.0009,0.0001,99.6,9.1,90.5,1,2,1,37.73,3782
Virginia Beach,Virginia,VA,"Virginia Beach, Virginia",36.8496579,-75.9760751,0.736415,1475,0.5,0.5,0.072,0.003,0.061,0.088,0.122,0.064,0.015,0.064,0.121,0.232,0.099,0.05,0.08,1,6,0.0001,0.0004,0.0000,0.0004,0.0001,0.0002,0.0004,0.0000,99.3,16.8,82.5,0,1,1,17.05,1877.53
Seattle,Washington,WA,"Seattle, Washington",47.6038321,-122.330062,0.593866,1971,0.558,0.442,0.229,0.005,0.055,0.086,0.128,0.058,0.038,0.059,0.192,0.212,0.084,0.045,0.037,0,7,0.0002,0.0008,0.0001,0.0010,0.0003,0.0005,0.0010,0.0000,94.1,21.5,72.6,1,2,1,65.73,8775.03
Spokane,Washington,WA,"Spokane, Washington",47.6571934,-117.42351,0.701422,1331,0.811,0.189,0.064,0.008,0.056,0.087,0.157,0.067,0.012,0.07,0.112,0.245,0.084,0.054,0.048,0,7,0.0004,0.0013,0.0001,0.0011,0.0004,0.0009,0.0011,0.0000,99.1,-3,102.1,1,2,1,63.84,3300
Charleston,West Virginia,WV,"Charleston, West Virginia",38.3505995,-81.6332812,0.760975,843,0.849,0.151,0.021,0.012,0.073,0.056,0.135,0.028,0.022,0.054,0.125,0.287,0.081,0.033,0.093,6,0,0.0004,0.0020,0.0001,0.0014,0.0005,0.0008,0.0015,0.0001,95.3,2.3,93,0,1,1,23.07,1491.83
Madison,Wisconsin,WI,"Madison, Wisconsin",43.074761,-89.3837613,0.626675,1395,0.74,0.26,0.101,0.004,0.033,0.088,0.1,0.023,0.023,0.058,0.201,0.302,0.078,0.045,0.045,4,3,0.0006,0.0019,0.0007,0.0020,0.0006,0.0013,0.0021,0.0001,94.1,-13.9,108,0,1,1,27.66,3391
Milwaukee,Wisconsin,WI,"Milwaukee, Wisconsin",43.0386475,-87.9090751,0.713306,1125,0.602,0.398,0.092,0.006,0.049,0.167,0.128,0.048,0.013,0.076,0.115,0.254,0.075,0.041,0.028,4,3,0.0005,0.0012,0.0001,0.0009,0.0005,0.0010,0.0009,0.0001,95,-7.9,102.9,1,2,1,51.06,6000
Cheyenne,Wyoming,WY,"Cheyenne, Wyoming",41.139981,-104.820246,0.794392,1141,0.771,0.229,0.033,0.011,0.085,0.047,0.14,0.079,0.02,0.082,0.083,0.233,0.08,0.04,0.101,7,0,0.0005,0.0022,0.0002,0.0020,0.0005,0.0009,0.0021,0.0001,95.2,-13,108.2,0,1,1,40.57,1991.23