City,State,Abbreviation,Politics
Cambridge,Massachusetts,MA,5
Arlington,Virginia,VA,5
Irvine,California,CA,3
Ann Arbor,Michigan,MI,3
Bellevue,Washington,WA,4
Berkeley,California,CA,5
Richardson,Texas,TX,3
Sunnyvale,California,CA,5
Sandy Springs,Georgia,GA,4
Santa Clara,California,CA,5
Seattle,Washington,WA,5
San Francisco,California,CA,5
Alexandria,Virginia,VA,0
Madison,Wisconsin,WI,3
Boulder,Colorado,CO,3
Raleigh,North Carolina,NC,4
Huntsville,Alabama,AL,3
Austin,Texas,TX,4
Tampa,Florida,FL,4
Virginia Beach,Virginia,VA,0
Gainesville,Florida,FL,4
Pasadena,California,CA,5
"Washington, D.C.",District of Columbia,DC,5
Atlanta,Georgia,GA,5
Minneapolis,Minnesota,MN,5
Pittsburgh,Pennsylvania,PA,3
Charleston,South Carolina,SC,3
St. Petersburg,Florida,FL,3
Rochester,Minnesota,MN,2
Charlotte,North Carolina,NC,4
Irving,Texas,TX,4
Durham,North Carolina,NC,5
Denton,Texas,TX,2
Burbank,California,CA,5
Tallahassee,Florida,FL,4
Orlando,Florida,FL,4
San Diego,California,CA,4
Boston,Massachusetts,MA,5
St. Paul,Minnesota,MN,4
Fort Collins,Colorado,CO,2
Athens,Georgia,GA,4
Columbia,South Carolina,SC,4
Sioux Falls,South Dakota,SD,2
Greensboro,North Carolina,NC,4
Denver,Colorado,CO,4
New York City,New York,NY,0
Grand Rapids,Michigan,MI,3
Oklahoma City,Oklahoma,OK,3
Costa Mesa,California,CA,5
Lafayette,Louisiana,LA,3
Fargo,North Dakota,ND,2
Kansas City,Missouri,MO,4
Tempe,Arizona,AZ,3
Chicago,Illinois,IL,5
Houston,Texas,TX,4
Salt Lake City,Utah,UT,3
Boise,Idaho,ID,2
Murfreesboro,Tennessee,TN,2
Indianapolis,Indiana,IN,4
Glendale,California,CA,5
Portland,Oregon,OR,3
Cincinnati,Ohio,OH,4
Abilene,Texas,TX,2
Arlington,Texas,TX,4
Dallas,Texas,TX,4
Wichita Falls,Texas,TX,2
Orange,California,CA,3
Knoxville,Tennessee,TN,2
Jersey City,New Jersey,NJ,5
Stamford,Connecticut,CT,5
Jacksonville,Florida,FL,4
Columbus,Ohio,OH,4
Provo,Utah,UT,1
San Antonio,Texas,TX,4
Lansing,Michigan,MI,4
Nashville,Tennessee,TN,4
Chattanooga,Tennessee,TN,3
Colorado Springs,Colorado,CO,2
Lakewood,Colorado,CO,2
West Palm Beach,Florida,FL,4
Richmond,Virginia,VA,0
Buffalo,New York,NY,5
St. Louis,Missouri,MO,0
Fort Worth,Texas,TX,4
Des Moines,Iowa,IA,3
Clarksville,Tennessee,TN,3
Anchorage,Alaska,AK,0
Tucson,Arizona,AZ,3
Fayetteville,North Carolina,NC,4
Oakland,California,CA,5
Phoenix,Arizona,AZ,3
Midland,Texas,TX,2
Hampton,Virginia,VA,0
Sacramento,California,CA,4
Reno,Nevada,NV,3
Miami,Florida,FL,5
Columbus,Georgia,GA,4
Long Beach,California,CA,5
Savannah,Georgia,GA,5
Norfolk,Virginia,VA,0