City,State,StateCode,CensusCode,City_State,Latitude,Longitude,Population,sameHouse1yr,transport,car_percent,transportCar,public_transport_percent,publicTransport,walked_percent,walked,medianIncome,employment,rent_percent,rent,own_percent,own,housingTenure,medianValue,medianRent,white_percent,white,black_percent,black,asian_percent,asian,two_plus_percent,twoPlusRaces,hispanic_percent,hispanic,foreign_born_percent,foreignBorn,commute_10_percent,commuteless10,commute_10_29_percent,commute10to29,commute_30_59_percent,commute30to59,commute_60_percent,commute60plus,counttraveltime,ya_percent,youngAdults,industryTotal,NR_percent,naturalReasources,construction_percent,construction,manufacturing_percent,manufacturing,sales,sales_percent,wholesale,retail,transpo_percent,transportation,info_percent,information,finance_percent,finance,sci_percent,scientific,edu_percent,education,arts_percent,arts,other_percent,other,PA_percent,publicAdmin,housingTypeTotal,percent_1_unit,units1,percent_2_unit,units2,percent_3_4_unit,units3or4,percent_5_9_unit,units5or9,percent_10_unit,units10plus,percent_other_housing,otherType,republican,democrat,bars_pp,total_bars,restaurants_pp,total_restaurants,parks_pp,total_parks,activities_pp,total_activities,nightlife_pp,total_nightlife,museums_pp,total_museums,max_avg_high,max_avg_low,mean_diff,international_airport,amtrak,crime_rate
Fayetteville,North Carolina,NC,29440,"Fayetteville, North Carolina",35.0525759,-78.878292,326821,259573,155301,0.739454,114838,0.003542,550,0.081365,12636,60179,166917,0.458267,58127,0.541733,68714,126841,215500,1232,0.395,129047,0.400,130695,0.033,10858,0.111,36322,0.138,45064,0.074,24194,0.183,26078,0.551,78743,0.218,31157,0.048,6857,142835,0.125,40772,125003,0.003,406,0.058,7297,0.091,11379,16920,0.135,1638,15282,0.075,9362,0.013,1565,0.038,4766,0.111,13920,0.255,31888,0.094,11721,0.049,6182,0.077,9597,140241,0.670,93950,0.037,5253,0.039,5475,0.069,9696,0.116,16274,0.068,9593,6,2,0.000272,89,0.001833,599,0.000046,15,0.000988,323,0.000334,109,0.000040,13,100.5,15.3,85.2,0,1,44.64
Greensboro,North Carolina,NC,35164,"Greensboro, North Carolina",36.0726355,-79.7919754,345858,281130,172065,0.728399,125332,0.012559,2161,0.031837,5478,63884,183240,0.446472,62869,0.553528,77944,140813,259600,1202,0.429,148280,0.374,129271,0.050,17124,0.091,31494,0.104,35897,0.120,41637,0.146,21573,0.614,90643,0.176,25993,0.064,9522,147731,0.132,45539,175386,0.002,373,0.045,7875,0.125,21935,26492,0.151,4564,21928,0.071,12450,0.010,1720,0.073,12768,0.103,18097,0.253,44407,0.105,18460,0.040,7049,0.021,3760,151646,0.649,98481,0.016,2499,0.035,5370,0.102,15456,0.173,26254,0.024,3586,6,2,0.000497,172,0.002380,823,0.000093,32,0.001761,609,0.000561,194,0.000055,19,97.4,11.8,85.6,1,1,46.35
Raleigh,North Carolina,NC,73261,"Raleigh, North Carolina",35.7803977,-78.6390989,1150010,972022,620365,0.630924,391403,0.007193,4462,0.032561,20200,102852,649710,0.368997,172993,0.631003,295826,468819,483100,1653,0.576,662147,0.189,217830,0.090,103023,0.091,104078,0.113,130085,0.157,181017,0.094,42577,0.551,248700,0.303,136952,0.052,23326,451555,0.086,99205,626321,0.007,4394,0.055,34327,0.094,59091,68665,0.110,12318,56347,0.038,23566,0.021,13155,0.087,54489,0.234,146389,0.196,122714,0.072,44798,0.042,26460,0.045,28273,498971,0.709,353616,0.009,4671,0.023,11317,0.045,22435,0.196,97873,0.018,9059,6,2,0.000275,316,0.000957,1100,0.000088,101,0.000870,1000,0.000299,344,0.000041,47,99.6,12.1,87.5,1,1,28.68
Fargo,North Dakota,ND,29089,"Fargo, North Dakota",46.877229,-96.789821,225066,174272,126610,0.784346,99306,0.003388,429,0.057863,7326,67510,134705,0.498386,48956,0.501614,49273,98229,281100,992,0.808,181822,0.077,17364,0.030,6696,0.070,15810,0.040,9080,0.066,14811,0.175,19937,0.719,82023,0.084,9558,0.022,2547,114065,0.164,36901,129021,0.016,2060,0.067,8700,0.088,11331,19290,0.150,5047,14243,0.039,5037,0.021,2654,0.091,11717,0.098,12588,0.280,36155,0.072,9268,0.045,5773,0.034,4448,104444,0.500,52268,0.011,1193,0.032,3368,0.041,4312,0.400,41733,0.015,1570,7,0,0.000520,117,0.002110,475,0.000071,16,0.001337,301,0.000551,124,0.000049,11,95.8,-25,120.8,0,1,46.99
Cincinnati,Ohio,OH,16885,"Cincinnati, Ohio",39.1014537,-84.5124602,1704916,1483217,869228,0.732876,637036,0.014676,12757,0.037366,32480,77455,913064,0.358502,252902,0.641498,452538,705440,274700,1122,0.721,1229833,0.142,241290,0.032,54537,0.080,137060,0.052,88618,0.068,116582,0.106,79914,0.585,439227,0.274,205607,0.034,25668,750416,0.088,149707,879503,0.004,3111,0.051,45107,0.130,114391,119926,0.136,15655,104271,0.057,50562,0.014,12364,0.077,68147,0.136,119464,0.233,204976,0.082,72057,0.046,40673,0.033,28725,743704,0.665,494284,0.039,28852,0.062,46095,0.060,44344,0.165,122406,0.010,7723,6,1,0.000346,590,0.000821,1400,0.000078,133,0.000821,1400,0.000357,608,0.000063,107,95.3,-2.7,98,1,1,46.34
Columbus,Ohio,OH,19234,"Columbus, Ohio",39.9622601,-83.0007065,1578153,1306367,827623,0.690003,571062,0.015745,13031,0.031988,26474,76669,875026,0.458878,299569,0.541122,353261,652830,327000,1305,0.606,956484,0.215,338939,0.066,104312,0.080,125815,0.069,108710,0.130,205902,0.104,70617,0.648,437935,0.215,145439,0.033,21976,675967,0.094,147840,841793,0.003,2225,0.047,39557,0.076,63688,109414,0.130,17035,92379,0.075,63532,0.019,16235,0.102,85672,0.132,111408,0.252,212084,0.082,69263,0.040,34050,0.041,34665,696913,0.636,443562,0.024,16750,0.070,49100,0.088,61112,0.170,118738,0.011,7651,6,1,0.000271,428,0.000950,1500,0.000102,161,0.000760,1200,0.000292,461,0.000045,71,95,-0.9,95.9,1,1,40.13
Oklahoma City,Oklahoma,OK,65080,"Oklahoma City, Oklahoma",35.4729886,-97.5170536,1000207,827094,488721,0.767096,374896,0.002758,1348,0.027339,13361,67408,520085,0.415042,168301,0.584958,237203,405504,237200,1177,0.572,572108,0.119,119376,0.040,40462,0.181,180711,0.195,195300,0.099,98631,0.106,46528,0.617,269746,0.243,106411,0.033,14346,437031,0.094,94195,489190,0.023,11021,0.065,31831,0.067,32839,71627,0.146,10036,61591,0.056,27533,0.014,7077,0.070,34184,0.121,59044,0.231,112991,0.085,41701,0.057,27691,0.065,31651,439355,0.739,324728,0.020,8636,0.032,14207,0.062,27243,0.128,56244,0.019,8297,7,0,0.000320,320,0.001400,1400,0.000067,67,0.000703,703,0.000378,378,0.000051,51,103.8,7.5,96.3,1,1,37.18
Tusla,Oklahoma,OK,88948,"Tusla, Oklahoma",36.391142,-95.044788,740620,626717,354745,0.756228,268268,0.004998,1773,0.033695,11953,65784,378197,0.404703,120361,0.595297,177045,297406,235100,1107,0.601,444876,0.094,69510,0.038,28421,0.164,121136,0.156,115406,0.098,72698,0.127,40105,0.675,213186,0.168,53102,0.030,9414,315807,0.093,68786,358910,0.012,4314,0.070,25232,0.107,38245,50342,0.140,8472,41870,0.066,23748,0.018,6455,0.062,22102,0.114,41047,0.228,82010,0.089,31898,0.056,20234,0.037,13283,323416,0.721,233252,0.012,3791,0.031,10126,0.056,18028,0.161,52188,0.019,6031,7,0,0.001041,771,0.000016,12,0.000262,194,0.000027,20,0.000892,661,0.000205,152,103.9,4.6,99.3,1,0,51.88
Eugene,Oregon,OR,28117,"Eugene, Oregon",44.0505054,-123.0950506,272737,219099,132978,0.652326,86745,0.022447,2985,0.089368,11884,68771,144623,0.471910,55449,0.528090,62050,117499,434700,1406,0.770,210010,0.015,4227,0.035,9419,0.119,32388,0.117,31785,0.049,13358,0.140,15979,0.723,82663,0.098,11229,0.039,4400,114271,0.142,38775,136610,0.019,2609,0.054,7415,0.091,12394,18166,0.133,2570,15596,0.030,4153,0.013,1832,0.045,6211,0.121,16563,0.300,41014,0.093,12713,0.053,7256,0.046,6284,124149,0.620,76971,0.025,3065,0.064,7957,0.065,8050,0.167,20752,0.059,7354,0,7,0.000634,173,0.002996,817,0.000268,73,0.002053,560,0.000634,173,0.000066,18,100.6,17.1,83.5,0,1,37.63
Portland,Oregon,OR,71317,"Portland, Oregon",45.5202471,-122.674194,2084045,1764478,1124971,0.607053,682917,0.034469,38777,0.060700,68286,94771,1189952,0.411284,358743,0.588716,513508,872251,559100,1691,0.679,1415058,0.037,76548,0.081,169295,0.136,283028,0.147,306669,0.135,282249,0.111,97783,0.562,494089,0.264,232292,0.062,54625,878789,0.080,166686,1143867,0.010,11235,0.061,69348,0.122,139447,160432,0.140,27713,132719,0.054,62065,0.019,21918,0.057,65458,0.148,168927,0.226,258433,0.083,95436,0.045,51134,0.035,40034,912382,0.632,576520,0.024,21863,0.046,42415,0.062,56957,0.212,193835,0.023,20792,0,7,0.000470,979,0.001535,3200,0.000118,245,0.001248,2600,0.000480,1000,0.000067,140,99.9,20.8,79.1,1,1,72.04
Philadelphia,Pennsylvania,PA,69076,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,5696588,5025246,2856765,0.626996,1791181,0.069323,198039,0.058194,166248,84489,3052563,0.344629,787523,0.655371,1497613,2285136,349700,1457,0.578,3292830,0.212,1208948,0.068,385889,0.083,474400,0.113,641918,0.126,717901,0.099,234323,0.451,1071858,0.348,827153,0.102,242365,2375699,0.089,509606,2910109,0.004,10624,0.053,155568,0.087,254569,354536,0.122,57823,296713,0.058,169410,0.018,52370,0.080,234052,0.139,403837,0.275,799500,0.077,223519,0.043,125700,0.043,126424,2431800,0.708,1722120,0.041,100522,0.049,117968,0.040,96894,0.152,370547,0.010,23749,1,6,0.000173,983,0.000930,5300,0.000047,266,0.000509,2900,0.000193,1100,0.000037,210,98.1,8.6,89.5,1,1,53.67
Pittsburgh,Pennsylvania,PA,69697,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861,1712828,1499862,879311,0.664782,584550,0.047262,41558,0.046295,40708,75559,929668,0.319269,242933,0.680731,517970,760903,232700,1101,0.799,1368700,0.099,170121,0.033,57037,0.056,95500,0.026,45284,0.055,93432,0.118,85558,0.513,372071,0.309,224041,0.061,44286,725956,0.084,144174,893580,0.005,4869,0.059,52516,0.094,83915,112443,0.126,16978,95465,0.058,52033,0.018,16049,0.079,70758,0.133,118998,0.274,244920,0.085,75701,0.042,37213,0.027,24165,840531,0.740,621739,0.043,36068,0.040,33260,0.039,32634,0.124,104451,0.015,12379,1,6,0.000349,597,0.001168,2000,0.000083,142,0.000817,1400,0.000369,632,0.000061,104,92.6,-1.5,94.1,1,1,36.03
Providence,Rhode Island,RI,72505,"Providence, Rhode Island",41.8239891,-71.4128343,1270529,1113285,643379,0.728407,468642,0.020754,13353,0.060216,38742,82320,692759,0.394451,203984,0.605549,313150,517134,414200,1348,0.700,889503,0.056,71717,0.037,46934,0.124,157640,0.174,220689,0.156,198190,0.130,74054,0.511,291711,0.271,154878,0.088,50536,571179,0.093,118691,656354,0.005,3159,0.066,43579,0.108,70996,89717,0.137,11878,77839,0.045,29563,0.011,7517,0.065,42798,0.125,81733,0.262,171923,0.083,54568,0.049,32302,0.043,28499,556648,0.549,305346,0.099,54863,0.144,80258,0.065,35955,0.133,73831,0.011,6395,0,7,0.000323,410,0.001338,1700,0.000111,141,0.000944,1200,0.000349,443,0.000043,54,96.6,2,94.6,1,1,28.64
Charleston,South Carolina,SC,15508,"Charleston, South Carolina",32.7884363,-79.9399309,726389,595986,380636,0.706029,268740,0.004855,1848,0.037792,14385,86502,402094,0.331033,98931,0.668967,199924,298855,388000,1667,0.657,476952,0.218,158396,0.023,16845,0.067,48468,0.080,58369,0.077,55705,0.094,30028,0.510,162540,0.321,102393,0.074,23585,318546,0.087,63438,379844,0.003,1050,0.071,27087,0.100,38113,43143,0.114,5951,37192,0.062,23500,0.013,5072,0.075,28547,0.164,62399,0.205,77885,0.098,37039,0.045,17084,0.050,18925,328349,0.667,218848,0.026,8427,0.038,12605,0.064,20974,0.152,49842,0.054,17653,7,0,0.000502,365,0.001514,1100,0.000226,164,0.002065,1500,0.000509,370,0.000124,90,98.9,20.3,78.6,1,1,23.07
Columbia,South Carolina,SC,18964,"Columbia, South Carolina",34.0003117,-81.0331309,605083,501408,298911,0.745847,222942,0.003730,1115,0.048851,14602,66938,321397,0.355167,87387,0.644833,158658,246045,248600,1211,0.505,305326,0.351,212366,0.030,17859,0.083,49970,0.073,44297,0.064,38976,0.141,37100,0.596,156403,0.226,59160,0.037,9657,262320,0.129,78296,294824,0.006,1778,0.052,15242,0.081,23907,37208,0.126,3883,33325,0.063,18553,0.015,4513,0.078,22914,0.112,32960,0.259,76501,0.074,21772,0.059,17485,0.075,21991,270920,0.715,193805,0.015,3929,0.037,9930,0.064,17345,0.129,34888,0.041,11023,7,0,0.000283,171,0.001621,981,0.000081,49,0.000935,566,0.000339,205,0.000046,28,101.5,16.7,84.8,1,1,35.32
Sioux Falls,South Dakota,SD,82252,"Sioux Falls, South Dakota",43.5476008,-96.7293629,207795,180920,114827,0.783065,89917,0.007159,822,0.027232,3127,71160,119048,0.376804,34195,0.623196,56555,90750,301000,986,0.786,163359,0.073,15146,0.027,5595,0.066,13774,0.072,15042,0.102,21241,0.129,13412,0.746,77397,0.097,10117,0.028,2856,103782,0.090,18743,116221,0.016,1862,0.057,6605,0.115,13331,15204,0.131,3116,12088,0.037,4263,0.019,2260,0.107,12490,0.091,10599,0.279,32444,0.070,8123,0.041,4804,0.036,4236,96318,0.618,59482,0.015,1481,0.030,2924,0.041,3983,0.262,25204,0.034,3244,7,0,0.000606,126,0.002348,488,0.000072,15,0.001814,377,0.000645,134,0.000096,20,96.8,-19.2,116,0,0,35.99
Chattanooga,Tennessee,TN,15832,"Chattanooga, Tennessee",35.0457219,-85.3094883,410795,343914,203991,0.744930,151959,0.004025,821,0.022128,4514,69106,217723,0.373724,63708,0.626276,106760,170468,298900,1265,0.713,293037,0.155,63678,0.021,8510,0.068,27859,0.082,33594,0.051,21035,0.119,20940,0.630,111011,0.224,39404,0.028,4932,176287,0.088,36138,207449,0.004,887,0.075,15654,0.125,25972,31326,0.151,4421,26905,0.078,16284,0.013,2750,0.063,13048,0.106,22074,0.224,46522,0.089,18529,0.049,10074,0.021,4329,185656,0.698,129562,0.043,7910,0.029,5457,0.042,7842,0.141,26189,0.047,8696,7,0,0.000387,159,0.001363,560,0.000127,52,0.001261,518,0.000428,176,0.000080,33,98.3,12.9,85.4,0,0,63.71
Knoxville,Tennessee,TN,45640,"Knoxville, Tennessee",35.9603948,-83.9210261,618226,532120,311173,0.754429,234758,0.006807,2118,0.028736,8942,69300,326265,0.344315,86483,0.655685,164691,251174,345000,1264,0.803,496395,0.080,49620,0.019,11928,0.075,46484,0.067,41352,0.064,39831,0.105,28175,0.591,159005,0.271,72951,0.034,9137,269268,0.112,68991,314537,0.003,966,0.066,20893,0.083,26031,44106,0.140,6881,37225,0.059,18698,0.017,5376,0.068,21379,0.139,43599,0.228,71812,0.113,35692,0.050,15589,0.033,10396,273549,0.709,194024,0.020,5553,0.037,10249,0.063,17152,0.137,37433,0.033,9138,7,0,0.000267,165,0.001129,698,0.000094,58,0.000797,493,0.000281,174,0.000045,28,96,9,87,1,0,48.04
Memphis,Tennessee,TN,56116,"Memphis, Tennessee",35.1460249,-90.0517638,1033394,890077,486841,0.777831,378680,0.004718,2297,0.024877,12111,62014,529468,0.440138,180499,0.559862,229597,410096,256700,1223,0.343,354441,0.518,534860,0.025,25543,0.064,66063,0.082,84379,0.075,77857,0.102,44992,0.607,266767,0.264,115829,0.027,11846,439434,0.086,88974,496407,0.004,1859,0.050,24850,0.092,45883,61857,0.125,12480,49377,0.142,70466,0.011,5344,0.053,26315,0.107,53288,0.225,111671,0.088,43820,0.045,22399,0.058,28655,458565,0.717,328902,0.014,6451,0.051,23265,0.080,36497,0.126,57976,0.012,5474,7,0,0.000194,200,0.000697,720,0.000050,52,0.000470,486,0.000226,234,0.000054,56,99.9,13.6,86.3,1,1,97.64
Nashville,Tennessee,TN,61273,"Nashville, Tennessee",36.1622767,-86.7742984,1178679,986747,648307,0.694509,450255,0.011041,7158,0.028861,18711,84867,677600,0.409788,211301,0.590212,304334,515635,470600,1649,0.620,730770,0.183,215129,0.038,44780,0.109,128023,0.124,145671,0.137,161213,0.095,49735,0.508,265968,0.332,173774,0.065,33822,523299,0.094,110399,657927,0.003,1844,0.066,43295,0.080,52880,76245,0.116,14615,61630,0.057,37758,0.032,21001,0.068,44951,0.151,99063,0.238,156584,0.104,68394,0.051,33880,0.033,22032,553910,0.650,360049,0.032,17754,0.026,14608,0.048,26576,0.227,125702,0.017,9221,7,0,0.000552,651,0.001697,2000,0.000112,132,0.001273,1500,0.000593,699,0.000073,86,98.5,9,89.5,1,1,49.6
Austin,Texas,TX,04384,"Austin, Texas",30.2711286,-97.7436995,1915031,1574570,1089194,0.617842,672950,0.010186,11095,0.035128,38261,101000,1149659,0.458854,380928,0.541146,449245,830173,518100,1784,0.549,1051691,0.077,147393,0.095,182134,0.195,373075,0.305,583156,0.168,322254,0.099,79489,0.514,411673,0.326,261376,0.060,48389,800927,0.088,169319,1105016,0.004,4224,0.059,65179,0.090,99258,126011,0.114,16622,109389,0.046,50521,0.037,40760,0.080,87854,0.210,231623,0.188,207345,0.080,88609,0.042,46095,0.052,57537,874356,0.599,523939,0.023,20534,0.029,24967,0.046,40444,0.282,246954,0.020,17518,7,0,0.000420,805,0.001462,2800,0.000124,238,0.001462,2800,0.000460,881,0.000058,112,105.3,24.2,81.1,1,1,41.62
Dallas,Texas,TX,22042,"Dallas, Texas",32.7762719,-96.7968559,5843632,4960520,3022839,0.699281,2113814,0.009165,27705,0.029645,89612,81296,3205298,0.447948,981964,0.552052,1210176,2192140,353400,1625,0.424,2479361,0.187,1092390,0.084,491947,0.191,1115103,0.330,1926811,0.219,1279376,0.092,233840,0.481,1228149,0.347,887189,0.081,205940,2555118,0.096,561031,3071420,0.006,19409,0.084,258936,0.090,276484,408919,0.133,71806,337113,0.078,239214,0.021,64624,0.093,285745,0.147,451886,0.192,590572,0.083,254949,0.046,142279,0.026,78403,2358532,0.620,1462195,0.013,30273,0.038,89412,0.067,158397,0.246,579937,0.016,38318,7,0,0.000122,713,0.000462,2700,0.000025,144,0.000359,2100,0.000139,815,0.000016,93,105.5,19.1,86.4,1,1,46.06
Houston,Texas,TX,40429,"Houston, Texas",29.7589382,-95.3676974,6046392,5137101,2963559,0.711382,2108223,0.016619,49251,0.032763,97095,76699,3193937,0.411085,905679,0.588915,1297466,2203145,304800,1435,0.345,2083206,0.195,1177341,0.097,589488,0.220,1329076,0.405,2448336,0.273,1652442,0.073,187672,0.442,1143016,0.384,994165,0.102,263553,2588406,0.092,556452,3013888,0.019,57803,0.091,273067,0.089,267891,390660,0.130,80771,309889,0.075,225616,0.011,32712,0.061,184544,0.145,437709,0.218,657221,0.084,252987,0.051,153259,0.027,80419,2385746,0.641,1528113,0.013,31922,0.030,71294,0.044,104946,0.245,583462,0.028,66009,7,0,0.000165,1000,0.000628,3800,0.000035,210,0.000463,2800,0.000198,1200,0.000024,146,102.1,26,76.1,1,1,57.34
San Antonio,Texas,TX,78580,"San Antonio, Texas",29.4246002,-98.4951405,2069843,1696728,1018728,0.689071,701976,0.015915,16213,0.030974,31554,70634,1085412,0.409173,309546,0.590827,446971,756517,281200,1334,0.418,865523,0.083,172680,0.034,70986,0.333,688929,0.586,1213573,0.141,292115,0.082,71312,0.543,472348,0.306,266424,0.069,60029,870113,0.102,210256,1003799,0.006,6066,0.080,80315,0.063,63348,139258,0.139,18060,121198,0.053,53703,0.016,16431,0.080,80767,0.126,126278,0.243,243422,0.102,102692,0.046,45937,0.045,45582,832212,0.670,557934,0.017,13904,0.040,33503,0.063,52121,0.192,159830,0.018,14920,7,0,0.000268,555,0.001256,2600,0.000081,168,0.000725,1500,0.000318,659,0.000048,99,103.8,23.5,80.3,1,1,59.58
Provo,Utah,UT,72559,"Provo, Utah",40.2337289,-111.6587085,639820,515145,317012,0.642730,203753,0.025923,8218,0.041491,13153,99745,337098,0.352873,67747,0.647127,124240,191987,578300,1557,0.808,517223,0.007,4574,0.018,11225,0.105,66909,0.148,94626,0.086,54714,0.175,46280,0.537,141862,0.227,59977,0.062,16267,264386,0.178,114060,323302,0.005,1706,0.077,25055,0.079,25554,43360,0.134,7619,35741,0.025,8213,0.022,7154,0.065,21036,0.165,53368,0.277,89540,0.074,23788,0.050,16244,0.026,8284,197331,0.727,143376,0.031,6066,0.043,8580,0.044,8682,0.145,28640,0.010,1987,7,0,0.000030,19,0.000897,574,0.000113,72,0.000781,500,0.000047,30,0.000039,25,103.2,5.4,97.8,0,1,15.55
Salt Lake City,Utah,UT,78499,"Salt Lake City, Utah",40.7596198,-111.886797,1169033,980758,633530,0.652425,413331,0.019611,12424,0.035673,22600,94000,666568,0.346702,149787,0.653298,282247,432034,553900,1649,0.698,815922,0.017,19552,0.043,50373,0.113,132286,0.206,240591,0.136,159307,0.093,48276,0.626,323254,0.245,126666,0.036,18477,516673,0.100,117306,642234,0.006,3912,0.073,46893,0.101,64920,87684,0.137,12641,75043,0.058,37377,0.017,10671,0.081,51980,0.140,90140,0.225,144823,0.085,54493,0.044,27987,0.033,21354,453814,0.686,311187,0.023,10248,0.037,16905,0.041,18715,0.194,87990,0.019,8769,7,0,0.000213,249,0.001198,1400,0.000110,129,0.000941,1100,0.000228,267,0.000044,51,102.3,0.9,101.4,1,1,76.11
Burlington,Vermont,VT,11755,"Burlington, Vermont",44.4761601,-73.212906,118409,95437,66785,0.584907,39063,0.028599,1910,0.097582,6517,91262,70614,0.431907,22546,0.568093,29655,52201,422300,1655,0.839,99317,0.031,3673,0.056,6641,0.052,6101,0.029,3382,0.096,11322,0.179,9598,0.621,33365,0.157,8435,0.044,2351,53749,0.183,21717,68461,0.017,1192,0.044,3045,0.118,8066,8657,0.126,915,7742,0.025,1709,0.016,1123,0.053,3604,0.131,8949,0.299,20463,0.100,6855,0.025,1687,0.045,3111,54241,0.517,28037,0.075,4053,0.101,5474,0.101,5473,0.199,10815,0.007,389,1,6,0.000895,106,0.003040,360,0.000203,24,0.003243,384,0.000887,105,0.000093,11,94.4,-15.3,109.7,0,1,59.83
Richmond,Virginia,VA,74746,"Richmond, Virginia",37.5385087,-77.43428,1081248,908718,563689,0.711889,401284,0.011121,6269,0.041037,23132,82255,594986,0.374085,162363,0.625915,271664,434027,355500,1507,0.510,551741,0.307,331869,0.051,55477,0.077,83087,0.098,106082,0.113,122477,0.105,49182,0.600,281610,0.258,120992,0.037,17578,469362,0.096,104209,560057,0.002,1114,0.047,26118,0.066,37172,73561,0.131,9994,63567,0.063,35291,0.013,7476,0.099,55531,0.141,79016,0.235,131874,0.074,41610,0.053,29484,0.075,41810,467823,0.708,331012,0.025,11482,0.048,22389,0.053,24736,0.160,75079,0.007,3125,1,6,0.000259,280,0.001202,1300,0.000072,78,0.000804,869,0.000275,297,0.000070,76,99.6,9.1,90.5,1,1,37.73
Virginia Beach,Virginia,VA,90892,"Virginia Beach, Virginia",36.8496579,-75.9760751,1431821,1204716,734506,0.736415,540901,0.009587,7042,0.040527,29767,76871,780444,0.402538,231575,0.597462,343712,575287,335000,1475,0.500,715433,0.317,453189,0.047,66758,0.106,151791,0.088,126181,0.072,103765,0.102,66190,0.582,378052,0.273,177362,0.043,28016,649620,0.099,141073,676490,0.003,2105,0.061,41131,0.088,59216,82528,0.122,10736,71792,0.064,43230,0.015,10288,0.064,43537,0.121,81891,0.232,157061,0.099,66930,0.050,34139,0.080,54434,617921,0.691,426744,0.021,13269,0.048,29832,0.078,48397,0.148,91309,0.014,8370,1,6,0.000092,132,0.000404,578,0.000041,58,0.000413,591,0.000093,133,0.000013,19,99.3,16.8,82.5,0,1,17.05
Seattle,Washington,WA,80389,"Seattle, Washington",47.6038321,-122.330062,3555253,2960643,1909148,0.593866,1133779,0.062201,118751,0.056554,107970,110589,2040530,0.426955,618770,0.573045,830494,1449264,720200,1971,0.558,1982502,0.069,243857,0.178,631294,0.131,466428,0.120,425522,0.229,813725,0.087,131845,0.485,735453,0.331,501150,0.097,147192,1515640,0.082,290940,1921381,0.005,10179,0.055,106126,0.086,165412,245795,0.128,38351,207444,0.058,112122,0.038,72665,0.059,114038,0.192,369536,0.212,407949,0.084,161353,0.045,85529,0.037,70677,1545390,0.584,902944,0.020,30410,0.040,61536,0.054,83678,0.280,433053,0.022,33769,0,7,0.000248,883,0.000816,2900,0.000140,498,0.000956,3400,0.000261,928,0.000049,175,94.1,21.5,72.6,1,1,65.73
Spokane,Washington,WA,83764,"Spokane, Washington",47.6571934,-117.42351,458988,386753,220830,0.701422,154895,0.024426,5394,0.045786,10111,72510,235552,0.376931,70137,0.623069,115937,186074,410400,1331,0.811,372136,0.025,11341,0.026,12141,0.088,40180,0.077,35360,0.064,29352,0.113,21288,0.634,119410,0.210,39488,0.044,8274,188460,0.086,39272,223344,0.008,1758,0.056,12569,0.087,19358,34985,0.157,5912,29073,0.067,14974,0.012,2682,0.070,15722,0.112,25033,0.245,54666,0.084,18748,0.054,12070,0.048,10779,198423,0.683,135547,0.031,6104,0.035,6860,0.045,8892,0.167,33093,0.040,7927,0,7,0.000434,199,0.001331,611,0.000107,49,0.001113,511,0.000423,194,0.000026,12,99.1,-3,102.1,1,1,63.84
Charleston,West Virginia,WV,15481,"Charleston, West Virginia",38.3505995,-81.6332812,133045,121105,57994,0.760975,44132,0.011449,664,0.043367,2515,55653,63008,0.327652,19722,0.672348,40470,60192,144400,843,0.849,112902,0.054,7192,0.016,2139,0.076,10112,0.018,2332,0.021,2730,0.140,7257,0.674,34833,0.123,6377,0.063,3250,51717,0.083,10994,59188,0.012,709,0.073,4341,0.056,3330,7980,0.135,776,7204,0.028,1677,0.022,1303,0.054,3224,0.125,7384,0.287,16983,0.081,4766,0.033,1980,0.093,5511,69300,0.680,47123,0.046,3168,0.065,4485,0.055,3827,0.089,6142,0.066,4555,6,0,0.000383,51,0.002029,270,0.000120,16,0.001428,190,0.000458,61,0.000113,15,95.3,2.3,93,0,1,23.07
Madison,Wisconsin,WI,53200,"Madison, Wisconsin",43.074761,-89.3837613,460255,360680,266374,0.626675,166930,0.036636,9759,0.089874,23940,79296,276768,0.503239,106663,0.496761,105290,211953,391900,1395,0.740,340504,0.062,28599,0.070,32171,0.092,42268,0.091,42107,0.101,46502,0.137,29698,0.644,140139,0.194,42079,0.025,5526,217442,0.155,71393,270055,0.004,1174,0.033,8883,0.088,23737,27021,0.100,3363,23658,0.023,6239,0.023,6159,0.058,15597,0.201,54412,0.302,81538,0.078,20951,0.045,12119,0.045,12225,217773,0.496,107913,0.040,8619,0.054,11686,0.061,13383,0.348,75828,0.002,344,4,3,0.000626,288,0.001921,884,0.000680,313,0.002042,940,0.000639,294,0.000052,24,94.1,-13.9,108,0,1,27.66
Milwaukee,Wisconsin,WI,57466,"Milwaukee, Wisconsin",43.0386475,-87.9090751,1290221,1129593,648183,0.713306,462353,0.026809,17377,0.036536,23682,72261,679838,0.425934,230529,0.574066,310703,541232,285000,1125,0.602,776136,0.187,241209,0.050,64674,0.112,145026,0.140,180944,0.092,118675,0.119,66110,0.610,338003,0.230,127520,0.040,22106,553739,0.090,115732,656051,0.006,4012,0.049,32061,0.167,109824,84009,0.128,13922,70087,0.048,31260,0.013,8703,0.076,49560,0.115,75450,0.254,166346,0.075,49460,0.041,27171,0.028,18195,583637,0.560,327117,0.124,72082,0.052,30155,0.058,34083,0.200,116737,0.006,3463,4,3,0.000519,669,0.001163,1500,0.000088,113,0.000853,1100,0.000526,679,0.000061,79,95,-7.9,102.9,1,1,51.06
Cheyenne,Wyoming,WY,16237,"Cheyenne, Wyoming",41.139981,-104.820246,81378,69092,41224,0.794392,32748,0.008296,342,0.025398,1047,66658,43406,0.367275,13533,0.632725,23314,36847,334900,1141,0.771,62738,0.018,1479,0.016,1323,0.123,10025,0.178,14522,0.033,2693,0.195,7334,0.705,26548,0.067,2521,0.033,1243,37646,0.093,7556,38395,0.011,437,0.085,3252,0.047,1809,5369,0.140,202,5167,0.079,3032,0.020,753,0.082,3131,0.083,3202,0.233,8943,0.080,3077,0.040,1517,0.101,3873,38446,0.723,27807,0.017,645,0.089,3438,0.037,1415,0.057,2204,0.076,2937,7,0,0.000455,37,0.002163,176,0.000197,16,0.001954,159,0.000479,39,0.000147,12,95.2,-13,108.2,0,1,40.57